U in V	I in nA
0.00	1.00
0.10	1.00
0.20	1.20
0.30	1.20
0.40	1.40
0.50	1.40
0.60	1.60
0.70	1.60
0.80	1.60
0.90	1.80
1.00	1.80
1.10	1.80
1.20	1.90
1.30	1.95
1.40	2.15
1.50	2.25
1.60	2.35
1.70	2.50
1.80	2.55
1.90	2.75
2.00	2.95
0.00	0.85
-0.05	0.85
-0.10	0.80
-0.20	0.70
-0.30	0.60
-0.40	0.50
-0.50	0.40
-0.55	0.34
-0.60	0.28
-0.65	0.24
-0.70	0.18
-0.75	0.14
-0.80	0.12
-0.90	0.06
-1.00	0.02
-1.10	0.00
-1.20	0.00
-1.30	-0.02
-1.40	-0.02
-1.50	-0.02
-1.60	-0.02
-1.70	-0.02
-1.80	-0.02
-1.90	-0.02
-2.00	-0.02
